model_id,channel_44_1,channel_44_2,channel_44_3,channel_44_4,channel_44_5,channel_44_6,channel_44_7,channel_44_8,channel_44_9,channel_44_10,channel_44_11,channel_44_12,channel_44_13,channel_44_14,channel_44_15,channel_44_16,channel_44_17,channel_44_18,channel_44_19,channel_44_20,channel_44_21,channel_44_22,channel_44_23,channel_44_24,channel_44_25,channel_44_26,channel_44_27,channel_44_28,channel_44_29,channel_44_30,channel_44_31,channel_44_32,channel_44_33,channel_44_34,channel_44_35,channel_44_36,channel_44_37,channel_44_38,channel_44_39,channel_44_40,channel_44_41,channel_44_42,channel_44_43,channel_44_44,channel_44_45,channel_44_46,channel_44_47,channel_44_48,channel_44_49,channel_44_50,channel_44_51,channel_44_52,channel_44_53,channel_44_54,channel_44_55,channel_44_56,channel_44_57,channel_44_58,channel_44_59,channel_44_60,channel_44_61,channel_44_62,channel_44_63,channel_44_64,channel_44_65,channel_44_66,channel_44_67,channel_44_68,channel_44_69,channel_44_70,channel_44_71,channel_44_72,channel_44_73,channel_44_74,channel_44_75,channel_45_1,channel_45_2,channel_45_3,channel_45_4,channel_45_5,channel_45_6,channel_45_7,channel_45_8,channel_45_9,channel_45_10,channel_45_11,channel_45_12,channel_45_13,channel_45_14,channel_45_15,channel_45_16,channel_45_17,channel_45_18,channel_45_19,channel_45_20,channel_45_21,channel_45_22,channel_45_23,channel_45_24,channel_45_25,channel_45_26,channel_45_27,channel_45_28,channel_45_29,channel_45_30,channel_45_31,channel_45_32,channel_45_33,channel_45_34,channel_45_35,channel_45_36,channel_45_37,channel_45_38,channel_45_39,channel_45_40,channel_45_41,channel_45_42,channel_45_43,channel_45_44,channel_45_45,channel_45_46,channel_45_47,channel_45_48,channel_45_49,channel_45_50,channel_45_51,channel_45_52,channel_45_53,channel_45_54,channel_45_55,channel_45_56,channel_45_57,channel_45_58,channel_45_59,channel_45_60,channel_45_61,channel_45_62,channel_45_63,channel_45_64,channel_45_65,channel_45_66,channel_45_67,channel_45_68,channel_45_69,channel_45_70,channel_45_71,channel_45_72,channel_45_73,channel_45_74,channel_45_75,channel_46_1,channel_46_2,channel_46_3,channel_46_4,channel_46_5,channel_46_6,channel_46_7,channel_46_8,channel_46_9,channel_46_10,channel_46_11,channel_46_12,channel_46_13,channel_46_14,channel_46_15,channel_46_16,channel_46_17,channel_46_18,channel_46_19,channel_46_20,channel_46_21,channel_46_22,channel_46_23,channel_46_24,channel_46_25,channel_46_26,channel_46_27,channel_46_28,channel_46_29,channel_46_30,channel_46_31,channel_46_32,channel_46_33,channel_46_34,channel_46_35,channel_46_36,channel_46_37,channel_46_38,channel_46_39,channel_46_40,channel_46_41,channel_46_42,channel_46_43,channel_46_44,channel_46_45,channel_46_46,channel_46_47,channel_46_48,channel_46_49,channel_46_50,channel_46_51,channel_46_52,channel_46_53,channel_46_54,channel_46_55,channel_46_56,channel_46_57,channel_46_58,channel_46_59,channel_46_60,channel_46_61,channel_46_62,channel_46_63,channel_46_64,channel_46_65,channel_46_66,channel_46_67,channel_46_68,channel_46_69,channel_46_70,channel_46_71,channel_46_72,channel_46_73,channel_46_74,channel_46_75
1,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026029646,-0.0029676855,-0.003296554,-0.0038397312,-0.0049441457,-0.0056017637,-0.0063059926,-0.006784588,-0.0075321496,-0.008480668,-0.009198844,-0.0095409155,-0.009693533,-0.010420233,-0.0107703805,-0.010534704,-0.010152847,-0.009764701,-0.008892834,-0.008394033,-0.0074521303,-0.0061677992,-0.0042403936,-0.0022347271,-0.0006030202,0.0015390813,0.0039944053,0.006899774,0.009270638,0.010582954,0.012350321,0.014726698,0.016766548,0.018051803,0.018567592,0.0196926,0.020692736,0.021574795,0.020885289,0.019449562,0.01883483,0.01786676,0.016972363,0.014521718,0.012190282,0.010435969,0.008682728,0.0063757002,0.0035526752,0.0013651848,-0.00025099516,-0.0021169782,-0.003789276,-0.005546212,-0.006735623,-0.007928669,-0.00840807,-0.008703232,-0.009245515,-0.009571046,-0.009501815,-0.009078443,-0.008339673,-0.008571148,-0.008048177,-0.0070657134,-0.0060543716,-0.005510479,-0.0055117607,-0.004503697,-0.0035191774,-0.0025611818,-0.0017984807,-0.0017323196,-0.0010351539
2,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01846826,0.02626115,0.03050229,0.030306756,0.028576225,0.028620034,0.028648406,0.028845876,0.027692407,0.028251708,0.029607296,0.029945493,0.029674768,0.029281765,0.03026089,0.03148663,0.032283217,0.03174439,0.030624002,0.030507982,0.030484796,0.030208409,0.028950602,0.02760002,0.027633578,0.02834928,0.028653264,0.027653635,0.026986897,0.02685529,0.027189702,0.027595878,0.028985083,0.027539313,0.025986046,0.019192815,0.007630706,-0.0076904,-0.021674663,-0.030196786,-0.032670528,-0.03146726,-0.03113532,-0.030482471,-0.029078126,-0.027903765,-0.027581602,-0.02902621,-0.030657768,-0.031414837,-0.03171608,-0.034100473,-0.036541104,-0.03702998,-0.03578213,-0.034558088,-0.033821136,-0.033537865,-0.03212005,-0.030435562,-0.029492974,-0.029536575,-0.030260831,-0.030192524,-0.029679745,-0.029303133,-0.028160363,-0.027510345,-0.02831453,-0.029167742,-0.02872184,-0.028147936,-0.024688452,-0.018385261,-0.008251816
3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.00014087558,5.1110983e-05,0.00052416325,0.0007314384,0.00097355247,0.0021822453,0.0039106905,0.0054810345,0.007327676,0.009624064,0.01225242,0.015837342,0.018770516,0.021611065,0.024558663,0.027828842,0.03073132,0.03306985,0.03447503,0.035716802,0.036590993,0.037133515,0.036827117,0.035543144,0.033754528,0.031475753,0.030219853,0.027482212,0.024502307,0.021084696,0.017696679,0.015721291,0.012864828,0.009959221,0.008013278,0.006066382,0.0047826767,0.0034546256,0.001958251,0.00082197785,0.00027310848,-0.0004632175,-0.0021679401,-0.0036349297,-0.00518772,-0.0066492558,-0.008269876,-0.011342019,-0.0140354335,-0.017059475,-0.01943022,-0.02225399,-0.025601923,-0.028491199,-0.030493826,-0.03283125,-0.034291327,-0.036091387,-0.036682397,-0.036637068,-0.035893172,-0.034483016,-0.03306049,-0.031028718,-0.028418154,-0.025020272,-0.021933675,-0.019150734,-0.016483545,-0.013423622,-0.009883642,-0.007091135,-0.005381018,-0.0037408173,-0.0018847883
4,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.002447188,0.0027708411,0.0033192933,0.00375247,0.0044520795,0.004754305,0.0052414834,0.005565822,0.0063334107,0.0072859824,0.008125156,0.008766025,0.009618878,0.011160731,0.012525827,0.013894141,0.015393645,0.016741902,0.017991096,0.018793464,0.020056188,0.021213114,0.022353917,0.023376673,0.023991048,0.024273127,0.025064558,0.026156485,0.026175648,0.025708258,0.025235862,0.024383545,0.02406776,0.023506403,0.02245599,0.021057844,0.020029485,0.019450128,0.017885715,0.01619199,0.014834642,0.013539761,0.012560278,0.011370897,0.009462774,0.008131921,0.007288724,0.0067698658,0.0057242215,0.0043033063,0.0037010014,0.0031217337,0.0027371943,0.0021985471,0.0017346442,0.0015020072,0.0012850761,0.0011589229,0.0009420514,0.0005811751,7.143617e-05,0.00014856458,0.0004120469,0.00046396255,-3.695488e-06,-0.00024685264,-0.00029090047,0.00016844273,4.1127205e-05,-0.00035697222,-0.00052675605,-0.00037369132,-8.249283e-05,-2.0235777e-05,-0.00057047606,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,0.0006015003,0.0005337,0.00028839707,1.8537045e-05,-0.00025174022,-0.00036078691,-0.00077590346,-0.00079616904,-0.0007927716,-0.0013269782,-0.0012069046,-0.0021174252,-0.0022891462,-0.0023042262,-0.0025182366,-0.0024031103,-0.0028196871,-0.0029821992,-0.0030153096,-0.002634108,-0.0022359788,-0.002705723,-0.0030169785,-0.0032503307,-0.0031481385,-0.0032581985,-0.004003644,-0.0046532154,-0.0054180324,-0.006286502,-0.0071397424,-0.008921415,-0.010601968,-0.012101203,-0.013662368,-0.015353054,-0.017352194,-0.018842667,-0.020211607,-0.021954268,-0.023449391,-0.025138527,-0.026301682,-0.027166605,-0.027575284,-0.028184325,-0.028571159,-0.028600365,-0.028083175,-0.027171433,-0.026186168,-0.025717348,-0.024143904,-0.022438258,-0.020593017,-0.019193232,-0.017673105,-0.016169429,-0.014583081,-0.012683749,-0.011535436,-0.010497898,-0.008653313,-0.007617563,-0.006360799,-0.0058152378,-0.0053912103,-0.004336208,-0.0037803054,-0.0029167235,-0.0026406348,-0.0022972822,-0.001987934,-0.0014221966,-0.00092116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.00022226572,-0.00039699674,-0.000636667,-0.00072976947,-0.00046792626,-0.0006040931,-0.00085380673,-0.00094759464,-0.0011241734,-0.000552088,-0.00030082464,-0.00047013164,-0.00053858757,-0.0001719892,0.0007943213,0.0016790032,0.0022462904,0.0029736757,0.0041640997,0.0060913563,0.007526666,0.009363532,0.011915743,0.014448941,0.01752013,0.020163119,0.02328834,0.026913583,0.030231774,0.0333409,0.03627932,0.03881657,0.04112667,0.04364702,0.045966864,0.04776588,0.048301578,0.04862985,0.048749536,0.048705995,0.04825461,0.046855837,0.04478216,0.04288724,0.040967077,0.037909478,0.03479001,0.031490594,0.028661758,0.02582872,0.022214115,0.018645436,0.015995502,0.013524026,0.010749429,0.008042783,0.0059728324,0.004494697,0.0032028258,0.0019952655,0.00067973137,-0.00028422475,-0.00044634938,-0.0006069243,-0.0010814965,-0.0012756884,-0.0014723837,-0.0014843643,-0.0013614595,-0.001128912,-0.00074517727,-0.0008330941,-0.0010823905,-0.0007934272,-0.00046667457,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.016355485,-0.019260406,-0.020884097,-0.023035407,-0.023424,-0.023525774,-0.024588883,-0.02527377,-0.02480039,-0.023990065,-0.022925407,-0.022640914,-0.021273553,-0.020376712,-0.019108534,-0.017347902,-0.01656589,-0.015716344,-0.014930338,-0.014267802,-0.013062328,-0.012566596,-0.011967748,-0.01142028,-0.010536969,-0.009678751,-0.00892058,-0.008199692,-0.007102281,-0.006118387,-0.005235523,-0.00511387,-0.0041865706,-0.003906369,-0.0028164089,-0.0022954047,-0.0019946694,-0.0007918477,0.00012502074,0.001470685,0.0023897886,0.003246665,0.004558921,0.005605668,0.0064380467,0.0070186555,0.008542299,0.00897488,0.009097248,0.009810269,0.010748178,0.011046618,0.011446208,0.0118997395,0.012339443,0.013198584,0.014102161,0.014748931,0.014877528,0.015603632,0.01670456,0.017200142,0.018589854,0.020257294,0.021123141,0.02188906,0.022119075,0.022663265,0.023088694,0.022659063,0.021259278,0.019758523,0.018194139,0.01611641,0.013819218,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.019581288,-0.023251712,-0.023608655,-0.019951433,-0.015960813,-0.014299929,-0.0129905045,-0.011781484,-0.011220127,-0.010389656,-0.008882731,-0.007373512,-0.0059173703,-0.0047365725,-0.0033051372,-0.002408117,-0.0005559325,0.0013217926,0.002097696,0.002276659,0.0025587082,0.0035535395,0.005529344,0.006487161,0.007885605,0.009823412,0.012270063,0.012692332,0.012415081,0.013611436,0.015311122,0.015699327,0.016086638,0.01747194,0.01803103,0.016039759,0.009006739,-0.002903849,-0.015272528,-0.021797031,-0.022760093,-0.01843831,-0.01377219,-0.0107064545,-0.009310275,-0.01068607,-0.011906773,-0.011998117,-0.0106064975,-0.008989722,-0.007556945,-0.0067148507,-0.0062353313,-0.00519827,-0.0029393137,-0.0004775524,0.00016134977,0.0005912185,0.0017412305,0.0034367144,0.0046112835,0.005428642,0.006794274,0.008272648,0.009256244,0.010520607,0.010941774,0.012120724,0.013073832,0.0128596425,0.013658524,0.01566407,0.018140793,0.018343449,0.01308316
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.027312309,-0.027678728,-0.028274477,-0.026608229,-0.02590254,-0.025879174,-0.026372343,-0.02705118,-0.02559492,-0.02452594,-0.0227077,-0.021402478,-0.019776076,-0.018735945,-0.018065661,-0.01779604,-0.016619861,-0.016183108,-0.015124559,-0.013638735,-0.012559831,-0.011625528,-0.011031747,-0.009559661,-0.0088585615,-0.007344663,-0.0057643056,-0.005361885,-0.004815668,-0.0036500096,-0.0022369027,-0.0014190972,-0.0008735657,-0.00047954917,0.00034606457,0.0012741387,0.0022864044,0.0038202107,0.003975868,0.0045995116,0.0055559874,0.006794572,0.007722378,0.007945836,0.008504868,0.009524435,0.010519028,0.010871917,0.011162162,0.011474311,0.012378097,0.012821704,0.014011264,0.014696002,0.015754312,0.017116219,0.018148512,0.018656492,0.018716037,0.019757003,0.020854294,0.02209416,0.023311377,0.024372369,0.025275618,0.026272446,0.026917577,0.028784841,0.028887928,0.028841585,0.026739955,0.0218305,0.014909506,0.010670364,0.006970346,-0.027209044,-0.02720052,-0.02732274,-0.025993884,-0.025933117,-0.02556327,-0.026617527,-0.02646169,-0.02510348,-0.024151802,-0.022377282,-0.021171153,-0.019479215,-0.018220276,-0.017664194,-0.018072248,-0.016729683,-0.016091377,-0.014316231,-0.013573796,-0.013030261,-0.012111664,-0.0108971,-0.00902009,-0.008157551,-0.0074982345,-0.006061673,-0.0051389635,-0.004488826,-0.003609687,-0.0025242865,-0.0014800429,-0.0005789399,0.000113129616,0.00056663156,0.0009740293,0.0022929907,0.003793329,0.004303485,0.005026102,0.0055630505,0.00655064,0.007764131,0.008016944,0.008519828,0.009337634,0.010705262,0.01116848,0.011314005,0.011311948,0.01206401,0.013146371,0.014049262,0.015165657,0.016677141,0.017278373,0.017824799,0.01851976,0.01911953,0.02013892,0.02083698,0.022339761,0.023719579,0.02415669,0.025303006,0.025909692,0.027513742,0.029332817,0.029129952,0.02875936,0.026582211,0.021219343,0.015026689,0.010654986,0.007011026
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.01702249,-0.020444155,-0.023519099,-0.02588126,-0.027439475,-0.029071271,-0.029698253,-0.030341536,-0.030202448,-0.029570788,-0.029671967,-0.02955535,-0.028275251,-0.027679592,-0.027354658,-0.026418328,-0.025477022,-0.024466276,-0.023065865,-0.022474319,-0.020593375,-0.019893885,-0.018550068,-0.01694125,-0.015507579,-0.015023977,-0.013752103,-0.012259334,-0.011039048,-0.010676026,-0.008952737,-0.0078006387,-0.006724924,-0.005503446,-0.004647225,-0.0032088757,-0.0022827983,-0.00078496337,0.00013679266,0.0008338094,0.0021872222,0.0030145943,0.004218757,0.005492389,0.0060429573,0.006932318,0.008134067,0.008584201,0.009070307,0.009543896,0.010200441,0.011360347,0.012323916,0.012649775,0.013880014,0.014979184,0.016233116,0.017443836,0.019100368,0.020768732,0.022410214,0.02413854,0.025370419,0.026836038,0.02776134,0.028804243,0.029967844,0.030227005,0.029799014,0.029011697,0.028220683,0.02751121,0.025660217,0.023092538,0.020028472,0.0026506782,0.004164964,0.006032288,0.008208662,0.01022774,0.012886524,0.015643269,0.017705142,0.020405918,0.022726953,0.0249376,0.027033687,0.02925095,0.030940086,0.032555938,0.034112513,0.035290927,0.036053717,0.036510676,0.036782563,0.036869317,0.036616355,0.036028296,0.035227895,0.03465393,0.033469737,0.0321061,0.030609936,0.028921336,0.026996106,0.02486524,0.022288471,0.019491106,0.016850054,0.01423955,0.010902613,0.0078501105,0.004902184,0.0015734732,-0.0013804138,-0.004695058,-0.007946014,-0.011329025,-0.014141917,-0.016497254,-0.019035727,-0.021614641,-0.024756968,-0.027433187,-0.02948004,-0.031250983,-0.03275308,-0.03442654,-0.035496503,-0.03632477,-0.03759864,-0.038051665,-0.038571984,-0.038535386,-0.03797993,-0.037501782,-0.036646545,-0.03532356,-0.033874243,-0.032211095,-0.030040234,-0.028040469,-0.025652558,-0.02377984,-0.020954162,-0.018078715,-0.015407473,-0.012749732,-0.010709643,-0.007939935
