model_id,channel_44_1,channel_44_2,channel_44_3,channel_44_4,channel_44_5,channel_44_6,channel_44_7,channel_44_8,channel_44_9,channel_44_10,channel_44_11,channel_44_12,channel_44_13,channel_44_14,channel_44_15,channel_44_16,channel_44_17,channel_44_18,channel_44_19,channel_44_20,channel_44_21,channel_44_22,channel_44_23,channel_44_24,channel_44_25,channel_44_26,channel_44_27,channel_44_28,channel_44_29,channel_44_30,channel_44_31,channel_44_32,channel_44_33,channel_44_34,channel_44_35,channel_44_36,channel_44_37,channel_44_38,channel_44_39,channel_44_40,channel_44_41,channel_44_42,channel_44_43,channel_44_44,channel_44_45,channel_44_46,channel_44_47,channel_44_48,channel_44_49,channel_44_50,channel_44_51,channel_44_52,channel_44_53,channel_44_54,channel_44_55,channel_44_56,channel_44_57,channel_44_58,channel_44_59,channel_44_60,channel_44_61,channel_44_62,channel_44_63,channel_44_64,channel_44_65,channel_44_66,channel_44_67,channel_44_68,channel_44_69,channel_44_70,channel_44_71,channel_44_72,channel_44_73,channel_44_74,channel_44_75,channel_45_1,channel_45_2,channel_45_3,channel_45_4,channel_45_5,channel_45_6,channel_45_7,channel_45_8,channel_45_9,channel_45_10,channel_45_11,channel_45_12,channel_45_13,channel_45_14,channel_45_15,channel_45_16,channel_45_17,channel_45_18,channel_45_19,channel_45_20,channel_45_21,channel_45_22,channel_45_23,channel_45_24,channel_45_25,channel_45_26,channel_45_27,channel_45_28,channel_45_29,channel_45_30,channel_45_31,channel_45_32,channel_45_33,channel_45_34,channel_45_35,channel_45_36,channel_45_37,channel_45_38,channel_45_39,channel_45_40,channel_45_41,channel_45_42,channel_45_43,channel_45_44,channel_45_45,channel_45_46,channel_45_47,channel_45_48,channel_45_49,channel_45_50,channel_45_51,channel_45_52,channel_45_53,channel_45_54,channel_45_55,channel_45_56,channel_45_57,channel_45_58,channel_45_59,channel_45_60,channel_45_61,channel_45_62,channel_45_63,channel_45_64,channel_45_65,channel_45_66,channel_45_67,channel_45_68,channel_45_69,channel_45_70,channel_45_71,channel_45_72,channel_45_73,channel_45_74,channel_45_75,channel_46_1,channel_46_2,channel_46_3,channel_46_4,channel_46_5,channel_46_6,channel_46_7,channel_46_8,channel_46_9,channel_46_10,channel_46_11,channel_46_12,channel_46_13,channel_46_14,channel_46_15,channel_46_16,channel_46_17,channel_46_18,channel_46_19,channel_46_20,channel_46_21,channel_46_22,channel_46_23,channel_46_24,channel_46_25,channel_46_26,channel_46_27,channel_46_28,channel_46_29,channel_46_30,channel_46_31,channel_46_32,channel_46_33,channel_46_34,channel_46_35,channel_46_36,channel_46_37,channel_46_38,channel_46_39,channel_46_40,channel_46_41,channel_46_42,channel_46_43,channel_46_44,channel_46_45,channel_46_46,channel_46_47,channel_46_48,channel_46_49,channel_46_50,channel_46_51,channel_46_52,channel_46_53,channel_46_54,channel_46_55,channel_46_56,channel_46_57,channel_46_58,channel_46_59,channel_46_60,channel_46_61,channel_46_62,channel_46_63,channel_46_64,channel_46_65,channel_46_66,channel_46_67,channel_46_68,channel_46_69,channel_46_70,channel_46_71,channel_46_72,channel_46_73,channel_46_74,channel_46_75
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010258555,-0.002248466,-0.0024738312,-0.0032297373,-0.004361987,-0.0063008666,-0.008284867,-0.009638667,-0.011465132,-0.013094246,-0.015722752,-0.01778847,-0.019391716,-0.021556437,-0.023079336,-0.024908721,-0.026133537,-0.0264346,-0.026421726,-0.026412904,-0.026239038,-0.025151014,-0.022400081,-0.019512534,-0.01586014,-0.012568951,-0.0075880885,-0.0016300082,0.0040043592,0.009667933,0.015116394,0.021716356,0.02843827,0.034106374,0.0392524,0.04402715,0.048920155,0.05321008,0.055591524,0.056827426,0.057421446,0.05722344,0.056783378,0.05441028,0.050942123,0.046927392,0.0425725,0.03749013,0.031581044,0.025445461,0.019068658,0.013130903,0.007101834,0.0014089942,-0.0041490197,-0.009645939,-0.013802767,-0.017554045,-0.020567954,-0.023560941,-0.02582407,-0.027051508,-0.027865767,-0.02818054,-0.028133094,-0.027386129,-0.026005924,-0.02479732,-0.023276746,-0.021591008,-0.019187689,-0.016373873,-0.014268935,-0.012059808,-0.009849429
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0062690377,0.01657617,0.028946102,0.037395716,0.041538358,0.04639244,0.049320936,0.050438702,0.0491156,0.04991138,0.051015735,0.050481677,0.048909426,0.0474298,0.048569918,0.050582886,0.052499175,0.05267352,0.050797284,0.05015397,0.04965049,0.04916835,0.04782641,0.0465495,0.048242867,0.051078975,0.050969303,0.04835546,0.045924067,0.04664731,0.048089564,0.048795104,0.04926163,0.048079252,0.05014211,0.05005008,0.045090377,0.03165126,0.011635244,-0.010598481,-0.028164089,-0.038453758,-0.0456571,-0.048808157,-0.04912162,-0.048570037,-0.049042463,-0.050516844,-0.050880313,-0.048877418,-0.0470981,-0.048628807,-0.05145186,-0.05354017,-0.052869737,-0.051036358,-0.05003071,-0.050589144,-0.05020094,-0.048909843,-0.048327267,-0.049172103,-0.051518798,-0.05027753,-0.047569275,-0.046275258,-0.046510935,-0.048327982,-0.04905933,-0.048014164,-0.046524942,-0.048136234,-0.0499689,-0.04861915,-0.040569246
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0030088425,0.0055467486,0.0071214437,0.0070516467,0.008786559,0.011630416,0.01569599,0.018530011,0.019910753,0.02330637,0.027753353,0.032390714,0.035627246,0.037352204,0.04043895,0.044442713,0.048107028,0.049596548,0.04892057,0.05025345,0.051322103,0.052126586,0.05010903,0.04718417,0.04550326,0.04322982,0.04223466,0.038503647,0.03350365,0.030068398,0.027810097,0.025357127,0.020761251,0.015885651,0.013176084,0.011229575,0.0095047355,0.0052343607,0.00135988,-0.0009871125,-0.0019211769,-0.0037208796,-0.008164048,-0.012010276,-0.0141175985,-0.015506208,-0.017912984,-0.023210764,-0.027220309,-0.0297755,-0.03178799,-0.034621835,-0.039501846,-0.04284829,-0.044264495,-0.045116007,-0.046406507,-0.04899496,-0.049532473,-0.04832244,-0.04559779,-0.044203162,-0.044163644,-0.041674554,-0.038036346,-0.032823503,-0.02954787,-0.027700543,-0.02454704,-0.020019948,-0.0148842335,-0.011789262,-0.010658622,-0.007830143,-0.0047891736
4,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012916327,-3.1769276e-05,-0.0007290244,-0.0003721118,0.0004247427,0.00033771992,0.00037693977,-8.267164e-05,0.00054609776,0.001670897,0.0019112229,0.0022482872,0.0024845004,0.0036581159,0.0050845146,0.0058302283,0.007012427,0.0079113245,0.009373128,0.010552049,0.012045562,0.01369375,0.015048027,0.017181456,0.019337356,0.021130025,0.023623407,0.02611643,0.028344214,0.03017646,0.03198898,0.03332579,0.034895778,0.03726548,0.038581192,0.03930676,0.039956033,0.040793538,0.041617215,0.041641057,0.041594505,0.041114807,0.04066646,0.040664256,0.03927356,0.03807336,0.03674549,0.035470843,0.03429222,0.03202349,0.030646503,0.02834338,0.02646017,0.02502817,0.022939026,0.021151006,0.018733382,0.017061591,0.015780509,0.01385951,0.012164891,0.010264814,0.009358525,0.00831306,0.0065231323,0.0053500533,0.003954768,0.0038788319,0.0031269193,0.0020054579,0.0015708208,0.0008352399,0.0012895465,0.0013439059,0.00063312054,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.0034967065,-0.0043388605,-0.005359888,-0.005823314,-0.0057656765,-0.0051092505,-0.005789578,-0.0063676834,-0.0063956976,-0.0064179897,-0.0060151815,-0.0075486302,-0.008890331,-0.0097388625,-0.01025188,-0.010587096,-0.012468994,-0.014192581,-0.015219033,-0.015300095,-0.015376687,-0.0173406,-0.018661737,-0.019635081,-0.019368172,-0.01951462,-0.02137053,-0.022183895,-0.022952795,-0.02262652,-0.022675216,-0.024698913,-0.02587092,-0.026729643,-0.026626408,-0.027699888,-0.02990359,-0.030928493,-0.0317688,-0.0319826,-0.03317052,-0.03490734,-0.035609126,-0.036226988,-0.03541088,-0.035832763,-0.03659743,-0.03706044,-0.03687936,-0.03611666,-0.036590636,-0.038412035,-0.039157987,-0.039513886,-0.03919661,-0.040485144,-0.04182905,-0.042657137,-0.042273164,-0.041057706,-0.04100144,-0.040739357,-0.038961112,-0.036723256,-0.033662677,-0.031598747,-0.029544592,-0.026494741,-0.023199677,-0.019335508,-0.0170694,-0.014517903,-0.012048364,-0.008834183,-0.0055828094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0030474067,0.0032525659,0.0039031506,0.0045540333,0.0053010583,0.0065268874,0.0070900917,0.00793159,0.009103596,0.010641098,0.012701809,0.013150096,0.014926672,0.016797423,0.018896759,0.02087307,0.02267623,0.025164604,0.027443945,0.029573679,0.03136325,0.033189,0.03631097,0.03854817,0.04054296,0.041990817,0.04373753,0.04679221,0.04838139,0.04920733,0.049628258,0.049961507,0.051202893,0.05148536,0.051660478,0.050533056,0.0494231,0.04927504,0.04808408,0.04666412,0.04508674,0.043462694,0.042407393,0.040790915,0.038815558,0.0366081,0.0353294,0.034329176,0.033257365,0.031211913,0.02940929,0.028304398,0.028470397,0.027659535,0.025702357,0.024224162,0.023909926,0.024198294,0.023647726,0.022398531,0.02071625,0.020507753,0.020458758,0.019448578,0.017964065,0.016056836,0.01547277,0.014775097,0.013369501,0.011893153,0.010128617,0.009561658,0.008196056,0.0073435903,0.0060323477,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.016189098,-0.021174967,-0.026008368,-0.030582368,-0.03345388,-0.036084175,-0.03926581,-0.04325229,-0.04475653,-0.044814527,-0.04519868,-0.045758307,-0.045439184,-0.045071006,-0.04359138,-0.041474223,-0.040103316,-0.038752258,-0.03728509,-0.035328627,-0.033263028,-0.032045424,-0.031172216,-0.030368567,-0.028948426,-0.027565718,-0.02609092,-0.02494669,-0.023278177,-0.02134502,-0.019780219,-0.01872319,-0.017415702,-0.016114295,-0.0141252875,-0.0127027035,-0.011554241,-0.009484053,-0.0076382756,-0.0056705475,-0.0039548874,-0.0029270053,-0.0013146996,0.00079762936,0.002554834,0.00428468,0.006341934,0.0074736476,0.008980215,0.011007547,0.013366342,0.014444053,0.015742242,0.017704844,0.019389391,0.021879554,0.023845613,0.025456667,0.027045727,0.02878517,0.031210661,0.03246826,0.035022438,0.038108468,0.04040575,0.04252678,0.043820977,0.045645535,0.047179997,0.047665298,0.047694504,0.046441555,0.04530847,0.04346037,0.04034424,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0035065413,0.005122602,0.0051998496,0.005025327,0.0058594346,0.0062862635,0.006365359,0.006894827,0.0074779987,0.007130444,0.0056754947,0.0026994944,0.0006545782,-0.0005567074,-0.0042384267,-0.012860775,-0.02511251,-0.03744304,-0.04601741,-0.04614085,-0.0423851,-0.038435996,-0.03685975,-0.036489487,-0.033953607,-0.030387282,-0.026673317,-0.023653924,-0.02043575,-0.01693958,-0.013850272,-0.011423051,-0.007345259,-0.00307405,0.0001309514,0.002702117,0.0054888725,0.010378242,0.014054298,0.018456757,0.021961093,0.024889708,0.028804183,0.03203821,0.03575039,0.03898132,0.040594637,0.040453613,0.04018432,0.04109323,0.04416144,0.042733908,0.03518659,0.02221328,0.0047138333,-0.013773203,-0.02809912,-0.03363681,-0.03283435,-0.030447602,-0.02996111,-0.028178275,-0.024476111,-0.02017939,-0.017536342,-0.015542626,-0.014560819,-0.012591541,-0.009681165,-0.0054709315,-0.00064212084,0.002346456,0.003543675,0.004493594,0.0057199597
9,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026046157,-0.032776892,-0.03950894,-0.041095257,-0.0426448,-0.04191214,-0.042807758,-0.04307252,-0.04534167,-0.047359645,-0.046135545,-0.045280635,-0.04319036,-0.040397286,-0.038449943,-0.037680864,-0.03557247,-0.03517437,-0.034039795,-0.033114195,-0.031925857,-0.03196311,-0.03195709,-0.032072425,-0.03212756,-0.030477524,-0.028218985,-0.026357949,-0.024370492,-0.02199006,-0.019316792,-0.017244399,-0.015154958,-0.013050258,-0.0108703375,-0.009155452,-0.007893562,-0.0062351823,-0.005084038,-0.0035039783,-0.0011529326,0.0010479093,0.0038138628,0.0049169064,0.0060346723,0.007685721,0.009782791,0.01208061,0.0147894025,0.017130315,0.018758595,0.019592583,0.02232027,0.0242545,0.026425362,0.0286327,0.03090471,0.032845855,0.034641325,0.03727311,0.03896594,0.039951384,0.04043585,0.041541994,0.042135954,0.04278642,0.042737484,0.04495579,0.046942472,0.049481213,0.05040425,0.051064074,0.051885426,0.050028443,0.045603514,-0.026975453,-0.03217292,-0.03722942,-0.038734972,-0.040463805,-0.040208638,-0.04251927,-0.042942286,-0.04484552,-0.046876132,-0.046907842,-0.04506594,-0.042041242,-0.039059043,-0.03766507,-0.038180053,-0.03548318,-0.03426063,-0.03283626,-0.03250158,-0.03216362,-0.03156954,-0.031063497,-0.031221688,-0.031329036,-0.030617297,-0.027985632,-0.025546372,-0.023745596,-0.022049129,-0.019712865,-0.017024517,-0.014363468,-0.01193285,-0.010363042,-0.009392023,-0.007377386,-0.0052608848,-0.0041279793,-0.0029361844,-0.0010393858,0.001627326,0.004554391,0.005574107,0.005822718,0.0073863864,0.010813713,0.013212025,0.015950322,0.01702696,0.018464863,0.020484686,0.023081124,0.02571261,0.02759397,0.028983831,0.031183362,0.03375554,0.036202252,0.03784716,0.03936678,0.040930867,0.041709423,0.04248798,0.04235047,0.042865455,0.044062316,0.0468055,0.04810959,0.04956889,0.05117953,0.05299425,0.05292815,0.050210178,0.044067323
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.008913517,-0.011851013,-0.01568818,-0.019598007,-0.022002399,-0.025206327,-0.028752565,-0.03332776,-0.03618282,-0.037142932,-0.039060295,-0.041048765,-0.041582942,-0.04198861,-0.041047454,-0.03949344,-0.038821638,-0.038642764,-0.037658572,-0.035889447,-0.03369713,-0.033802748,-0.033284426,-0.031410694,-0.028178453,-0.026528299,-0.02460301,-0.022859573,-0.02044493,-0.018318176,-0.015788972,-0.015204549,-0.014662981,-0.013001442,-0.011017919,-0.0093292,-0.00933373,-0.008729577,-0.0069167614,-0.0047423244,-0.0027078986,-0.002184987,-0.0009506941,0.0019379258,0.00465852,0.0066429377,0.007824719,0.008517623,0.0101794,0.012003124,0.013044238,0.013236403,0.0139347315,0.01518625,0.017687201,0.019529462,0.020851254,0.023285747,0.026343405,0.028831601,0.03048122,0.031815708,0.03316009,0.035357058,0.03669703,0.037121534,0.036783457,0.03614825,0.036676407,0.036539257,0.03532821,0.034343123,0.03323579,0.033524036,0.0326311,0.0020809174,0.003145039,0.006005645,0.008301735,0.009705424,0.010816872,0.012803793,0.016007602,0.019552708,0.022036433,0.02341324,0.02640605,0.030628026,0.03427893,0.03693831,0.038839042,0.041822016,0.045534194,0.048614204,0.049957156,0.050717235,0.051756144,0.05380428,0.05505824,0.05506122,0.053893805,0.053379238,0.053693295,0.053105116,0.050626874,0.04763329,0.044929206,0.042778373,0.039934635,0.03559196,0.030741572,0.0268085,0.023706734,0.01980257,0.014626145,0.009499133,0.005146861,0.0014660358,-0.0024124384,-0.007419884,-0.012096524,-0.015859425,-0.019817293,-0.02413541,-0.029208124,-0.033070385,-0.0357368,-0.037934124,-0.040316105,-0.04348272,-0.046473026,-0.04747379,-0.048300743,-0.049662173,-0.05144024,-0.052158773,-0.051953435,-0.050865173,-0.050994515,-0.051422536,-0.050574243,-0.04903692,-0.04683286,-0.04509169,-0.04346305,-0.040736377,-0.036304712,-0.03206694,-0.028888881,-0.025659978
